City,TimeZoneName,WindowsTimeZoneId,Lat,Lon,Notes
Abidjan,Africa/Abidjan,Greenwich Standard Time,5.320357,-4.016107,
Abu Dhabi,Asia/Dubai,Arabian Standard Time,24.4538352,54.3774014,
Abuja,Africa/Lagos,W. Central Africa Standard Time,9.0643305,7.4892974,
Accra,Africa/Accra,Greenwich Standard Time,5.5571096,-0.2012376,
Adak,America/Adak,Aleutian Standard Time,51.8736127,-176.639032,
Adamstown,Pacific/Pitcairn,UTC-08,-25.066667,-130.100205,
Addis Ababa,Africa/Addis_Ababa,E. Africa Standard Time,9.0358287,38.7524127,
Adelaide,Australia/Adelaide,Cen. Australia Standard Time,-34.9281805,138.5999312,
Alert,America/Indiana/Indianapolis,US Eastern Standard Time,39.16033,-85.6783093,
Algiers,Africa/Algiers,W. Central Africa Standard Time,36.7729333,3.0588445,
Alice Springs,Australia/Darwin,AUS Central Standard Time,-23.6983884,133.8812885,
Almaty,Asia/Almaty,West Asia Standard Time,43.2363924,76.9457275,
Alofi,Pacific/Niue,UTC-11,-19.0534159,-169.919199,
Amman,Asia/Amman,Jordan Standard Time,31.9515694,35.9239625,
Amsterdam,Europe/Amsterdam,W. Europe Standard Time,52.3730796,4.8924534,
Amsterdam Island,Indian/Kerguelen,West Asia Standard Time,-37.8344793,77.5546161,Override applied
Anadyr,Asia/Anadyr,Russia Time Zone 11,64.7316875,177.5060925,
Anchorage,America/Anchorage,Alaskan Standard Time,61.2163129,-149.894852,
Ankara,Europe/Istanbul,Turkey Standard Time,39.9207759,32.8540497,
Antananarivo,Indian/Antananarivo,E. Africa Standard Time,-18.9100122,47.5255809,
Apia,Pacific/Apia,Samoa Standard Time,-13.8345235,-171.7630955,
Ashgabat,Asia/Ashgabat,West Asia Standard Time,37.9378321,58.2359467,
Asmara,Africa/Asmara,E. Africa Standard Time,15.3389667,38.9326763,
Astana,Asia/Almaty,West Asia Standard Time,51.1159933,71.4677059,
Asuncion,America/Asuncion,Paraguay Standard Time,-25.2800459,-57.6343814,
Athens,America/New_York,Eastern Standard Time,33.9597677,-83.376398,
Atlanta,America/New_York,Eastern Standard Time,33.7544657,-84.3898151,
Auckland,Pacific/Auckland,New Zealand Standard Time,-36.852095,174.7631803,
Baghdad,Asia/Baghdad,Arabic Standard Time,33.3061701,44.3872213,
Baker Island,,,,,Override applied; No geocode result
Baker Lake,America/Rankin_Inlet,Central Standard Time,64.3188583,-96.0214238,
Baku,Asia/Baku,Azerbaijan Standard Time,40.3755885,49.8328009,
Bamako,Africa/Bamako,Greenwich Standard Time,12.6132655,-7.9847391,
Bandar Seri Begawan,Asia/Brunei,Singapore Standard Time,4.8895453,114.9417574,
Bangkok,Asia/Bangkok,SE Asia Standard Time,13.7524938,100.4935089,
Bangui,Africa/Bangui,W. Central Africa Standard Time,4.3635118,18.5835913,
Banjul,Africa/Banjul,Greenwich Standard Time,13.45535,-16.575646,
Barcelona,Europe/Madrid,Romance Standard Time,41.3825802,2.177073,Override applied
Basse-Terre,America/Guadeloupe,SA Western Standard Time,16.0000778,-61.7333373,
Beijing,Asia/Shanghai,China Standard Time,40.190632,116.412144,
Beirut,Asia/Beirut,Middle East Standard Time,33.8892265,35.5025585,
Belém,America/Belem,SA Eastern Standard Time,-1.45056,-48.4682453,Override applied
Belgrade,Europe/Belgrade,Central Europe Standard Time,44.8178131,20.4568974,
Belmopan,America/Belize,Central America Standard Time,17.250199,-88.770018,
Belushya Guba,Europe/Moscow,Russian Standard Time,71.5376984,52.3427343,
Bengaluru,Asia/Kolkata,India Standard Time,12.9767936,77.590082,
Berlin,Europe/Berlin,W. Europe Standard Time,52.510885,13.3989367,
Bern,Europe/Zurich,W. Europe Standard Time,46.9484742,7.4521749,
Bishkek,Asia/Bishkek,Central Asia Standard Time,42.8761424,74.6036724,
Bissau,Africa/Bissau,Greenwich Standard Time,11.861324,-15.583055,
Bogota,America/Bogota,SA Pacific Standard Time,4.6533815,-74.0836331,
